Realization 0
     
      Week             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q
         0                 100     1.812         0     19.91     18.09                 375     3.884         0     19.17     15.29                 400     7.249     33.38    0.7323     26.87                 550     9.062     28.87     19.17     38.98               493.6     5.178         0    0.7323         2
         1                 100      1.79         0     10.11      8.32                 375     3.865         0     7.973     4.108                 400     7.161     12.43     2.138     7.404                 550     8.952     9.404     7.973     8.425               488.6     5.087         0     2.138         2
         2                 100     1.815         0     10.43     8.613                 375     3.941         0     9.673     5.733                 400      7.26     14.35    0.7546      7.84                 550     9.075      9.84     9.673     10.44               482.2     5.134         0    0.7546         2
         3                 100     1.803         0     11.69     9.888                 375     3.944         0     9.886     5.942                 400     7.212     15.83     1.805     10.42                 550     9.015     12.42     9.886      13.3                 477     5.071         0     1.805         2
         4                 100     1.835         0      25.6     23.76                 375     4.038         0     19.53     15.49                 400     7.339     39.25     6.066     37.98                 550     9.174     39.98     19.53     50.34               475.9     5.136         0     6.066         2
         5                 100     1.776         0     24.87      23.1                 375     3.913         0     11.26     7.351                 400     7.102     30.45     13.61     36.96                 550     8.878     38.96     11.26     41.34               482.5     4.965         0     13.61         2
         6                 100     1.816         0     29.54     27.73                 375      3.97         0      23.9     19.93                 400     7.262     47.66     5.641     46.04                 550     9.078     48.04      23.9     62.87               481.1     5.108         0     5.641         2
         7                 100     1.872         0     17.85     15.97                 375     4.101         0     15.59     11.48                 400     7.489     27.46     2.261     22.23                 550     9.362     24.23     15.59     30.45               476.1     5.261         0     2.261         2
         8                 100     2.018         0     14.72      12.7                 375     4.445         0     9.545       5.1                 400     8.071      17.8     5.177     14.91                 550     10.09     16.91     9.545     16.37               473.6     5.643         0     5.177         2
         9                 100     1.811         0      33.1     31.29                 375     4.002         0     19.14     15.14                 400     7.244     46.43     13.96     53.15                 550     9.056     55.15     19.14     65.24               480.5     5.054         0     13.96         2
        10                 100      1.84         0     17.16     15.32                 375     4.033         0     11.96     7.927                 400     7.361     23.24     5.198     21.08                 550     9.201     23.08     11.96     25.84               478.5     5.168         0     5.198         2
        11                 100     1.871         0     16.69     14.82                 375     4.109         0     11.93     7.823                 400     7.482     22.64      4.76     19.92                 550     9.353     21.92     11.93      24.5               476.1     5.244         0      4.76         2
        12                 100     1.781         0     24.69     22.91                 375     3.923         0     13.38     9.459                 400     7.123     32.37     11.31     36.56                 550     8.904     38.56     13.38     43.04               480.4     4.981         0     11.31         2
        13                 100     1.863         0     17.27     15.41                 375     4.085         0     14.23     10.15                 400     7.454     25.56     3.039     21.14                 550     9.317     23.14     14.23     28.06               476.2     5.232         0     3.039         2
        14                 100     1.848         0     19.03     17.18                 375     4.071         0     17.67      13.6                 400     7.393     30.78     1.356     24.74                 550     9.241     26.74     17.67     35.17               470.4      5.17         0     1.356         2
        15                 100     1.861         0     30.85     28.99                 375     4.128         0     28.56     24.43                 400     7.445     53.42     2.292     48.27                 550     9.307     50.27     28.56     69.52               465.5     5.178         0     2.292         2
        16                 100     1.901         0     9.862     7.961               374.6     4.242         0     6.857         3                 400     7.606     10.96     3.005     6.361                 550     9.507     8.361     6.857     5.711               461.2     5.265         0     3.005         2
        17               99.28     1.997         0     4.278         3               369.1     4.474         0      1.95         3               398.3     7.987         6     2.328         2                 543     9.983         4      1.95         3               456.1     5.509         0     2.328         2
        18               96.75     1.993         0      2.46         3               363.3     4.469         0     1.675         3               395.1     7.998         6    0.7849         2               535.7     9.991         4     1.675         3               449.3     5.522         0    0.7849         2
        19               96.15     1.939         0     4.346         3                 358     4.408         0     2.103         3               393.5      7.92         6     2.243         2               528.9     9.859         4     2.103         3               444.1     5.451         0     2.243         2
        20               95.48     2.162         0      4.49         3               352.4     4.914         0     2.313         3               390.8     8.848         6     2.177         2               521.2     11.01         4     2.313         3               438.2     6.096         0     2.177         2
        21               98.85     2.172         0     8.538         3               346.6     4.931         0     2.098         3               392.3      8.89         6      6.44         2               513.2     11.06         4     2.098         3               436.5     6.131         0      6.44         2
        22                 100     2.533         0     7.454     3.768               339.9     5.571         0     1.875         3               392.6     10.05     6.768     5.578         2               503.5     12.59         4     1.875         3               433.1     7.017         0     5.578         2
