
Realization 0

                                                                                      Cary                                                                          Durham                                                                           OWASA                                                                         Raleigh
                        Stored               Rest.   Unrest.  Conting. Insurance Insurance              Stored               Rest.   Unrest.  Conting. Insurance Insurance              Stored               Rest.   Unrest.  Conting. Insurance Insurance              Stored               Rest.   Unrest.  Conting. Insurance Insurance
      Week              Volume       ROF    Demand    Demand      Fund    Payout     Price              Volume       ROF    Demand    Demand      Fund    Payout     Price              Volume       ROF    Demand    Demand      Fund    Payout     Price              Volume       ROF    Demand    Demand      Fund    Payout     Price
         0                4477         0     161.5     140.7     4.221         0         0                2251      0.12     135.8     160.1         0         0         0               939.2      0.34     30.52     43.43         0         0         0                2827      0.28     277.9     357.8         0         0         0
         1                4477         0     139.2     139.2     8.397         0         0                3999      0.02       179       179     12.53         0         0                1100      0.02     50.07     50.07     2.503         0         0                7465      0.06     330.3       367         0         0         0
         2                4477         0     133.4     133.4      12.4         0         0                5142      0.02     186.3     186.3     25.58         0         0                1250         0     51.51     51.51     5.079         0         0                9422         0     360.2     360.2     18.01         0         0
         3                4477         0     132.3     132.3     16.37         0         0                5799      0.02     196.1     196.1     39.31         0         0                1318         0     46.92     46.92     7.425         0         0           1.076e+04         0     380.9     380.9     37.06         0         0
         4                4477         0     130.1     130.1     20.27         0         0                5973      0.02     193.5     193.5     52.85         0         0                1346         0     50.91     50.91      9.97         0         0           1.142e+04         0     375.9     375.9     55.85         0         0
         5                4477         0     143.4     143.4     24.57         0         0                6349      0.02     183.3     183.3     65.68         0         0                1561         0     52.65     52.65      12.6         0         0           1.451e+04         0     384.6     384.6     75.08         0         0
         6                4477         0     137.6     137.6      28.7         0         0                6349      0.02     199.1     199.1     79.62         0         0                1698         0     51.96     51.96      15.2         0         0           1.531e+04         0     411.1     411.1     95.63         0         0
         7                4477         0     156.8     156.8     33.41         0         0                6349      0.02     181.6     181.6     92.33         0         0                1776         0     51.47     51.47     17.77         0         0           1.536e+04         0     378.7     378.7     114.6         0         0
         8                4477         0     138.5     138.5     37.56         0         0                6349      0.02     160.4     160.4     103.6         0         0                1867      0.02     53.14     53.14     20.43         0         0           1.566e+04         0     450.6     450.6     137.1         0         0
         9                4477         0     151.5     151.5     42.11         0         0                6349      0.02     189.2     189.2     116.8         0         0                1953         0      46.3      46.3     22.75         0         0           1.607e+04         0     359.4     359.4     155.1         0         0
        10                4477         0     142.7     142.7     46.39         0         0                6349      0.02     187.9     187.9       130         0         0                1995         0     47.79     47.79     25.14         0         0           1.613e+04         0     371.1     371.1     173.6         0         0
        11                4477         0     156.7     156.7     51.09         0         0                6349      0.02       165       165     141.5         0         0                2247         0     50.75     50.75     27.67         0         0           1.669e+04         0     347.2     347.2       191         0         0
        12                4477         0     152.5     152.5     55.66         0         0                6223      0.02     179.9     179.9     154.1         0         0                2226         0     55.67     55.67     30.46         0         0            1.68e+04         0       372       372     209.6         0         0
        13                4477         0     159.1     159.1     60.44         0         0                6119      0.02     167.8     167.8     165.8         0         0                2217         0     48.59     48.59     32.89         0         0           1.683e+04         0     337.2     337.2     226.4         0         0
        14                4477         0       161       161     65.27         0         0                5939      0.02     183.6     183.6     178.7         0         0                2168         0     53.82     53.82     35.58         0         0           1.673e+04         0     358.6     358.6     244.4         0         0
        15                4477         0     171.5     171.5     70.41         0         0                5773      0.02     191.8     191.8     192.1         0         0                2128         0     58.54     58.54      38.5         0         0            1.68e+04         0     350.9     350.9     261.9         0         0
        16                4477         0     178.1     178.1     75.76         0         0                5544      0.02     239.5     239.5     208.9         0         0                2075         0      60.6      60.6     41.53         0         0           1.653e+04         0     373.5     373.5     280.6         0         0
        17                4477         0     157.5     157.5     80.48         0         0                5357      0.02     195.8     195.8     222.6         0         0                2025         0     62.11     62.11     44.64         0         0           1.615e+04         0     370.2     370.2     299.1         0         0
        18                4477         0       162       162     85.34         0         0                5130      0.02       239       239     239.3         0         0                1979         0     59.62     59.62     47.62         0         0            1.58e+04         0     400.9     400.9     319.2         0         0
        19                4477         0     159.3     159.3     90.12         0         0                4944      0.04     183.8     204.2     233.2         0         0                1924         0     57.48     57.48     50.49         0         0           1.552e+04         0     295.1     295.1     333.9         0         0
        20                4477         0     173.4     173.4     95.32         0         0                4703      0.04     238.7     265.2     225.3         0         0                1874         0     55.05     55.05     53.25         0         0           1.506e+04         0     447.9     447.9     356.3         0         0
        21                4477         0     189.2     189.2       101         0         0                4532      0.06     194.6     216.2     218.8         0         0                1838      0.02     53.38     53.38     55.92         0         0           1.453e+04         0     565.8     565.8     384.6         0         0
        22                4477         0     219.7     219.7     107.6         0         0                4352      0.06     211.2     234.7     211.7         0         0                1786      0.02     65.96     65.96     59.21         0         0           1.402e+04         0     515.1     515.1     410.3         0         0
        23                4477         0     173.5     173.5     112.8         0         0                4220       0.1     189.7     210.8     205.4         0         0                1737         0     61.76     61.76      62.3         0         0           1.358e+04         0     494.1     494.1     435.1         0         0
        24                4477         0     174.5     174.5       118         0         0                4199      0.12     217.3     241.5     198.2         0         0                1714         0     57.54     57.54     65.18         0         0           1.327e+04         0     561.6     561.6     463.1         0         0
        25                4477         0       212       212     124.4         0         0                4028       0.1     195.5     217.2     191.6         0         0                1662         0     67.29     67.29     68.54         0         0           1.292e+04         0       440       440     485.1         0         0
        26                4477         0     185.2     185.2     129.9         0         0                3803       0.1     221.3     245.9     184.3         0         0                1602         0      63.6      63.6     71.72         0         0           1.363e+04         0       487       487     509.5         0         0
        27                4477         0     184.9     184.9     135.5         0         0                3594      0.12     201.5     223.9     177.5         0         0                1536         0     66.25     66.25     75.04         0         0           1.308e+04         0     543.3     543.3     536.6         0         0
        28                4477         0     207.4     207.4     141.7         0         0                3371      0.16     214.9     238.8     170.4         0         0                1471         0     65.47     65.47     78.31         0         0           1.287e+04         0     507.3     507.3       562         0         0
        29                4477         0     209.2     209.2       148         0         0                3285       0.2     181.8     227.3     140.8         0         0                1421         0     63.04     63.04     81.46         0         0           1.529e+04         0     547.8     547.8     589.4         0         0
        30                4477         0     249.6     249.6     155.5         0         0                3054      0.16     226.5     251.7     133.3         0         0                1360         0     60.62     60.62     84.49         0         0           1.507e+04         0     464.4     464.4     612.6         0         0
        31                4432         0     247.1     247.1     162.9         0         0                2854      0.16     192.7     214.2     126.9         0         0                1292         0     67.94     67.94     87.89         0         0           1.454e+04         0     663.8     663.8     645.8         0         0
        32                4477         0     209.8     209.8     169.2         0         0                2678       0.2     176.5     220.7     98.17         0         0                1215         0     77.98     77.98     91.79         0         0           1.695e+04         0     364.8     364.8       664         0         0
        33                4477         0     195.4     195.4       175         0         0                2468      0.24     205.1     256.4     64.84         0         0                1157      0.02     59.97     59.97     94.79         0         0           1.671e+04         0     466.9     466.9     687.4         0         0
        34                4477         0     174.6     174.6     180.3         0         0                2394       0.3       176     220.1     36.24         0         0                1144      0.02     61.47     61.47     97.86         0         0           1.715e+04         0     436.6     436.6     709.2         0         0
        35                4477         0     220.5     220.5     186.9         0         0                2265      0.26     174.5     218.1     7.877         0         0                1111         0      64.7      64.7     101.1         0         0           1.726e+04         0     431.9     431.9     730.8         0         0
        36                4477         0     229.5     229.5     193.8         0         0                2148      0.22       169     211.2         0         0         0                1068         0     60.79     60.79     104.1         0         0           1.732e+04         0     438.5     438.5     752.7         0         0
        37                4477         0       198       198     199.7         0         0                2023      0.22     170.8     213.5         0         0         0                1012         0     67.47     67.47     107.5         0         0           1.745e+04         0       420       420     773.7         0         0
        38                4477         0     203.1     203.1     205.8         0         0                1865      0.22     152.8       191         0         0         0               959.9         0     54.56     54.56     110.2         0         0           1.746e+04         0     426.6     426.6     795.1         0         0
        39                4477         0     196.6     196.6     211.7         0         0                1698      0.26     161.1     201.3         0         0         0               898.2      0.02     63.49     63.49     113.4         0         0           1.748e+04         0     403.7     403.7     815.3         0         0
        40                4477         0     209.5     209.5       218         0         0                1570      0.32     162.6     203.2         0         0         0                 848      0.02     64.44     64.44     116.6         0         0           1.743e+04         0     444.1     444.1     837.5         0         0
        41                4477         0     161.8     161.8     222.9         0         0                1465      0.36     168.1     210.2         0         0         0               818.8      0.04      51.1     56.78     113.8         0         0           1.741e+04         0     431.5     431.5       859         0         0
        42                4477         0     188.1     188.1     228.5         0         0                1567      0.38     167.4     239.2         0         0         0               786.9      0.04     53.01      58.9     110.8         0         0           1.738e+04         0     351.3     351.3     876.6         0         0
        43                4477         0     150.2     150.2       233         0         0                1439      0.18     160.7     200.9         0         0         0                 751      0.06      52.9     58.77     107.9         0         0           1.708e+04         0     494.9     494.9     901.3         0         0
        44                4477         0     150.3     150.3     237.5         0         0                1390      0.22     154.5     193.2         0         0         0               752.6       0.1     55.34     61.49     104.8         0         0           1.726e+04         0     451.1     451.1     923.9         0         0
        45                4477         0     170.3     170.3     242.6         0         0                1658      0.16     151.2       168         0         0         0               846.7      0.04     50.11     55.68     102.1         0         0           1.724e+04         0     378.7     378.7     942.8         0         0
        46                4477         0     142.4     142.4     246.9         0         0                1902      0.06     166.6     185.1         0         0         0               899.2         0     54.37     54.37     104.8         0         0           1.729e+04         0     385.6     385.6     962.1         0         0
        47                4477         0       156       156     251.6         0         0                2400      0.04     136.4     151.6         0         0         0                1059         0     47.54     47.54     107.1         0         0           1.728e+04         0     380.1     380.1     981.1         0         0
        48                4477         0       161       161     256.4         0         0                3527      0.04     164.3     182.6         0         0         0                1331         0     54.12     54.12     109.9         0         0           1.733e+04         0     370.4     370.4     999.6         0         0
        49                4477         0     158.3     158.3     261.2         0         0                4238      0.04     152.4     169.3         0         0         0                1452         0     56.21     56.21     112.7         0         0           1.731e+04         0     351.3     351.3      1017         0         0
        50                4477         0     148.5     148.5     265.6         0         0                4860      0.04     167.5     186.1         0         0         0                1525         0     49.17     49.17     115.1         0         0           1.738e+04         0     367.4     367.4      1036         0         0
        51                4477         0     172.9     172.9     270.8         0         0                5682      0.04     182.5     202.8         0         0         0                1782         0     53.21     53.21     117.8         0         0           1.737e+04         0     424.2     424.2      1057         0         0
        52                4477         0     137.2     137.2     274.9         0         0                6349      0.04     162.6     180.6         0         0         0                2572         0     48.42     48.42     120.2         0         0           1.732e+04         0     387.2     387.2      1076         0         0
        53                4477         0     133.6     133.6     278.9         0         0                6349      0.04     167.4       186         0         0         0                2815         0      52.8      52.8     122.8         0         0           1.734e+04         0     380.4     380.4      1095         0         0
        54                4477         0     142.5     142.5     283.2         0         0                6349      0.04     169.9     188.8         0         0         0                3154         0     51.66     51.66     125.4         0         0           1.738e+04         0     364.7     364.7      1113         0         0
        55                4477         0     133.8     133.8     287.2         0         0                6349      0.04     174.1     193.4         0         0         0                3509         0     53.86     53.86     128.1         0         0           1.748e+04         0       360       360      1131         0         0
        56                4477         0     133.6     133.6     291.2         0         0                6349      0.04     173.6     192.9         0         0         0                3524         0     47.44     47.44     130.5         0         0           1.744e+04         0     408.6     408.6      1152         0         0
        57                4477         0     152.8     152.8     295.8         0         0                6349      0.04     161.5     179.4         0         0         0                3549         0     50.62     50.62       133         0         0           1.749e+04         0     374.3     374.3      1171         0         0
        58                4477         0     148.6     148.6     300.3         0         0                6349      0.04     179.2     199.1         0         0         0                3551         0     49.05     49.05     135.5         0         0           1.746e+04         0       417       417      1191         0         0
        59                4477         0     161.1     161.1     305.1         0         0                6349      0.04     163.7     181.9         0         0         0                3550         0     51.59     51.59     138.1         0         0            1.74e+04         0     378.1     378.1      1210         0         0
        60                4477         0     147.4     147.4     309.5         0         0                6349      0.04     177.7     197.5         0         0         0                3550         0     53.17     53.17     140.7         0         0           1.749e+04         0     408.7     408.7      1231         0         0
