0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,2st_vol,2capacity,2net_inf,2st_rof,2lt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv,3st_vol,3capacity,3net_inf,3st_rof,3lt_rof,3rest_demand,3unrest_demand,3unfulf_demand,3wastewater,3treat_capacity,3cont_fund,3ins_pout,3ins_price,3infra_npv,3debt_serv
3558,3558,59.2771,0,0,45.2656,45.2656,0,0,299997,0.00269545,0,0,0,0,6349,6349,221.3,0,0.02,166.728,166.728,0,0,99999,0.00642583,0,0,0,0,3943.75,3943.75,82.9532,0,0,128.954,128.954,0,0,448,0.111025,0,0,0,0,17231.3,17489.7,172.639,0,0,365.057,365.057,0,0,199998,0.0188676,0,0,0,0
3557.42,3558,127.136,0,0,50.6074,50.6074,0,42.5492,299997,0.00570899,0,0,0,0,6349,6349,340.26,0,0.02,170.959,170.959,0,156.723,99999,0.0130147,0,0,0,0,3943.75,3943.75,212.32,0,0,153.341,153.341,0,0,448,0.243047,0,0,0,0,17438.5,17489.7,406.841,0,0,393.922,393.922,0,343.15,199998,0.0392272,0,0,0,0
3524.23,3558,68.5334,0,0,49.6235,49.6235,0,47.5705,299997,0.00866395,0,0,0,0,6313.38,6349,200.91,0,0.02,180.671,180.671,0,160.7,99999,0.0199779,0,0,0,0,3943.75,3943.75,275.129,0,0,127.485,127.485,0,0,448,0.352807,0,0,0,0,17298.2,17489.7,374.321,0,0,383.65,383.65,0,370.283,199998,0.0590558,0,0,0,0
3558,3558,336.108,0,0,53.9236,53.9236,0,46.6456,299997,0.011875,0,0,0,0,6349,6349,676.4,0,0.02,176.678,176.678,0,169.829,99999,0.0267872,0,0,0,0,3943.75,3943.75,305.895,0,0,127.907,127.907,0,0,448,0.462931,0,0,0,0,17431.2,17489.7,632.397,0,0,401.018,401.018,0,360.628,199998,0.079782,0,0,0,0
3530.97,3558,60.1966,0,0,50.8298,50.8298,0,50.9993,299997,0.0149017,0,0,0,0,6290.27,6349,155.45,0,0.02,182.748,182.748,0,167.097,99999,0.0338305,0,0,0,0,3943.75,3943.75,79.3258,0,0,156.917,156.917,0,0,448,0.598032,0,0,0,0,17023.3,17489.7,101.934,0,0,391.712,391.712,0,379.271,199998,0.100027,0,0,0,0
3497.11,3558,55.2926,0,0,53.4066,53.4066,0,48.2883,299997,0.0181287,0,0,0,0,6214.51,6349,148.66,0,0.02,188.739,188.739,0,173.611,99999,0.0411979,0,0,0,0,3943.75,3943.75,64.4349,0,0,141.03,141.03,0,0,448,0.721082,0,0,0,0,16655.3,17489.7,99.731,0,0,351.389,351.389,0,372.126,199998,0.119071,0,0,0,0
3437.31,3558,23.907,0,0,50.2324,50.2324,0,50.7363,299997,0.0211639,0,0,0,0,6057.77,6349,75.83,0,0.02,174.494,174.494,0,179.302,99999,0.0480094,0,0,0,0,3943.75,3943.75,64.7254,0,0,155.112,155.112,0,0,448,0.856419,0,0,0,0,16524.5,17489.7,174.641,0,0,420.868,420.868,0,333.819,199998,0.14188,0,0,0,0
3385.3,3558,27.8302,0,0,49.5859,49.5859,0,47.7208,299997,0.02416,0,0,0,0,5920.49,6349,109.36,0,0.02,190.255,190.255,0,165.77,99999,0.055436,0,0,0,0,3943.75,3943.75,96.5916,0,0,133.072,133.072,0,0,448,0.972525,0,0,0,0,16353.6,17489.7,165.38,0,0,373.239,373.239,0,399.825,199998,0.162107,0,0,0,0
3558,3558,767.353,0,0,51.7626,51.7626,0,48.2322,299997,0.0272876,0,0,0,0,6349,6349,1898.21,0,0.02,187.573,187.573,0,185.061,99999,0.0627579,0,0,0,0,3943.75,3943.75,2209.24,0,0,144.013,144.013,0,0,448,1.09818,0,0,0,0,17489.7,17489.7,3226.47,0,0,414.483,414.483,0,363.049,199998,0.18457,0,0,0,0
3538.78,3558,74.9086,0,0,47.6954,47.6954,0,51.2414,299997,0.0300954,0,0,0,0,6311,6349,182.71,0,0.02,183.51,183.51,0,185.684,99999,0.0696414,0,0,0,0,3943.75,3943.75,570.222,0,0,158.769,158.769,0,0,448,1.22991,0,0,0,0,17257.9,17489.7,295.146,0,0,393.037,393.037,0,410.309,199998,0.205416,0,0,0,0
