0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1s_area,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_3,1alloc_4,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,3volume,3s_area,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4s_area,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,6volume,6demand,6up_spill,6ww_inflow,6catch_inflow,6evap,6ds_spill,6alloc_0,6alloc_1,6alloc_2,6alloc_3,6alloc_4,7volume,7demand,7up_spill,7ww_inflow,7catch_inflow,7evap,7ds_spill,8volume,8demand,8up_spill,8ww_inflow,8catch_inflow,8evap,8ds_spill,9volume,9demand,9up_spill,9ww_inflow,9catch_inflow,9evap,9ds_spill,10demand,10up_spill,10ww_inflow,10catch_inflow,10ds_spill,11volume,11s_area,11demand,11up_spill,11ww_inflow,11catch_inflow,11evap,11ds_spill,18demand,19demand
6349,1,167.781,0,0,221.3,-159.848,213.367,14504.2,1,307.149,213.367,0,329.2,279.619,649.614,14504.2,19501.9,2726.25,58.2885,0,0,33.18,24.7186,13.58,200,1,2.482,0,0,1.1604,-1.4953,0.173704,2909,1,36.1006,0,0,30.3638,-74.765,69.0282,449,1,5.57208,0,0,27.7529,-31.7004,53.8812,10297.6,126.834,123.083,0,962.29,-2084.45,3042.99,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,46.994,0,46.994,0,0,649.614,0,909.2,0,1558.81,0,0,213.367,0,0,0,213.367,0,1558.81,0,329.2,1888.01,0,1,0,4991.58,0,0,0,4991.58,15.4,63.7
6349,1,186.587,0,0,340.26,23.5618,130.111,14660.1,1,334.605,130.111,65.4093,742.7,-219.597,271.46,14660.1,19897.8,2767.72,62.8932,0,0,92.21,-21.1761,9.03,199.354,1,2.91485,0,0,2.4888,0.22041,0,2908.13,1,42.3964,0,0,65.1236,11.0205,12.579,449,1,6.54383,0,0,59.5238,4.67269,48.3073,10297.6,143.261,60.8863,133.808,2463,307.252,2207.18,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,58.938,0,58.938,0,0,614.968,0,1057.1,0,1672.07,0,0,130.111,0,0,0,130.111,0,1672.07,0,742.7,2414.77,0,1,0,4689.92,0,0,0,4689.92,15.4,63.7
6315.27,1,178.775,0,0,200.91,28.723,27.139,14489.3,1,334.46,27.139,72.741,390.2,103.812,271.46,14489.3,19849,2789.66,63.1434,0,0,209.02,-53.6549,177.587,197.55,1,2.87676,0,0,1.3416,0.26869,0,2875.25,1,41.9655,0,0,35.1052,13.4345,12.579,449,1,6.47926,0,0,32.0866,5.69623,19.9111,10297.6,150.371,32.4901,151.392,3191.6,374.554,2850.56,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,89.735,0,89.735,0,0,645.105,0,1496.6,0,2141.7,0,0,27.139,0,0,0,27.139,0,2141.7,0,390.2,2531.9,0,1,0,5649.78,0,0,0,5649.78,15.4,63.7
6349,1,190.878,0,0,676.4,32.6708,419.125,14700,1,300.836,419.125,69.6952,1388.3,275.885,938.684,14700,20000,2737.97,57.9207,0,0,44.27,24.4582,13.58,200,1,2.58414,0,0,6.5796,0.30562,1.23954,2909,1,37.611,0,0,172.166,15.281,85.528,449,1,5.87334,0,0,157.362,6.47914,145.01,10297.6,145.722,231.777,146.593,3548.5,426.034,3355.11,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,44.783,0,44.783,0,0,1312.43,0,906.5,0,2218.93,0,0,419.125,0,0,0,419.125,0,2218.93,0,1388.3,3607.23,0,1,0,7020.7,0,0,0,7020.7,15.4,63.7
6294.06,1,178.953,0,0,155.45,4.2961,27.139,14382.8,1,316.115,27.139,77.5613,196.1,303.258,271.46,14382.8,19727.1,2666.34,58.8785,0,0,18.86,22.5822,9.03,198.164,1,2.97418,0,0,1.1784,0.040188,0,2881.99,1,43.2594,0,0,30.8348,2.0094,12.579,449,1,6.67702,0,0,28.1834,0.851986,20.6544,10297.6,133.732,33.2334,146.535,920.21,56.0221,910.224,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,24.541,0,24.541,0,0,610.761,0,528.4,0,1139.16,0,0,27.139,0,0,0,27.139,0,1139.16,0,196.1,1335.26,0,1,0,2279.06,0,0,0,2279.06,15.4,63.7
6246.8,1,160.247,0,0,148.66,8.53415,27.139,14082.4,1,295.637,27.139,75.1908,183.7,297.374,271.46,14082.4,19449.1,2598.91,54.8062,0,0,21.91,25.4994,9.03,196.356,1,2.81012,0,0,1.0824,0.079833,0,2852.87,1,40.8688,0,0,28.3228,3.99165,12.579,449,1,6.36717,0,0,25.8874,1.69246,17.8278,10297.6,145.372,30.4068,145.08,747.47,111.287,666.297,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,12.474,0,12.474,0,0,627.704,0,248.4,0,876.104,0,0,27.139,0,0,0,27.139,0,876.104,0,183.7,1059.8,0,1,0,1747.61,0,0,0,1747.61,15.4,63.7
6075.92,1,188.632,0,0,75.83,30.9433,27.139,13914.8,1,314.931,27.139,67.3312,99.9,-153.325,271.46,13914.8,19378.1,2678.52,58.1206,0,0,132.32,-14.4344,9.03,193.538,1,2.99715,0,0,0.468,0.28946,0,2794.52,1,43.5457,0,0,12.246,14.473,12.579,447.203,1,6.85346,0,0,11.193,6.13655,0,10297.6,137.571,12.579,132.448,750.84,403.507,354.788,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,22.272,0,22.272,0,0,604.381,0,289.9,0,894.281,0,0,27.139,0,0,0,27.139,0,894.281,0,99.9,994.181,0,1,0,1380.27,0,0,0,1380.27,15.4,63.7
5958,1,170.897,0,0,109.36,29.2393,27.139,13658.1,1,323.549,27.139,79.2574,113,61.4002,271.46,13658.1,19197.7,2754.37,62.2814,0,0,117.51,-29.6498,9.03,190.874,1,2.93491,0,0,0.5448,0.27352,0,2742.22,1,42.3775,0,0,14.2556,13.676,10.5,447.653,1,6.78162,0,0,13.0298,5.79862,0,10297.6,156.746,10.5,150.669,1120.5,381.287,743.636,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,43.471,0,43.471,0,0,625.859,0,204.1,0,829.959,0,0,27.139,0,0,0,27.139,0,829.959,0,113,942.959,0,1,0,1739.1,0,0,0,1739.1,15.4,63.7
6349,1,176.498,0,0,1898.21,6.14226,1324.57,14700,1,300.412,1324.57,63.719,4282.2,-1126.38,4652.27,14700,20000,2789.66,60.5826,0,0,1412.4,-94.4795,1411,200,1,2.97737,0,0,15.0216,0.057458,2.86101,2909,1,42.7748,0,0,393.065,2.8729,180.638,449,1,6.98275,0,0,359.267,1.21811,349.718,10297.6,150.958,533.217,153.184,25628,80.0965,26083.3,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,1414.1,0,1414.1,0,0,5027.57,0,2344.4,0,7371.97,0,0,1324.57,0,0,0,1324.57,0,7371.97,0,4282.2,11654.2,0,1,0,40562.6,0,0,0,40562.6,15.4,63.7
6304.93,1,189.577,0,0,182.71,10.0639,27.139,14450.2,1,346.799,27.139,60.02,318.9,177.069,271.46,14450.2,19860.5,2789.66,65.813,0,0,160.05,15.1104,79.1266,198.409,1,2.96368,0,0,1.4664,0.094143,0,2886.98,1,43.1068,0,0,38.3708,4.70715,12.579,449,1,6.65347,0,0,35.0714,1.99583,26.4221,10297.6,141.54,39.0011,166.905,6614.8,131.235,6547.93,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,261.42,0,261.42,0,0,628.82,0,604,0,1232.82,0,0,27.139,0,0,0,27.139,0,1232.82,0,318.9,1551.72,0,1,0,8440.2,0,0,0,8440.2,15.4,63.7
