0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1s_area,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,6volume,6s_area,6demand,6up_spill,6ww_inflow,6catch_inflow,6evap,6ds_spill,9demand
449,1,29.0372,0,0,46.0348,3.54467,13.4529,9270,1,99.9166,13.4529,0,585.7,222.58,276.656,1545,6180,1545,31855,23839,531.785,52.2904,0,1046.15,60.4909,506.164,6913.31,16925.7,20000,0,0,1.9248,0,50.3656,0,52.2904,0,0,506.164,0,55.538,0,561.702,0,0,0,0,1.9248,0,1.9248,0,1,0,838.359,0,0,0,838.359,20
449,1,34.5287,0,0,128.432,3.81951,90.0843,9270,1,118.813,90.0843,0,2388.3,239.838,2119.73,1545,6180,1545,31855,23839,564.881,145.885,0,3829.06,-634.175,4044.24,6913.31,16925.7,20000,0,0,5.37,0,140.515,0,145.885,0,0,4044.24,0,112.77,0,4157.01,0,0,0,0,5.37,0,5.37,0,1,0,6276.74,0,0,0,6276.74,20
449,1,28.7064,0,0,477.74,2.17014,446.864,9270,1,98.7783,446.864,0,9868.4,136.269,10080.2,1545,6180,1545,31855,23839,564.321,542.66,0,13481.1,-132.53,13592,6913.31,16925.7,20000,0,0,19.9752,0,522.684,0,542.66,0,0,13592,0,379.88,0,13971.9,0,0,0,0,19.9752,0,19.9752,0,1,0,24052.1,0,0,0,24052.1,20
449,1,28.8016,0,0,589.297,-6.99278,567.488,9270,1,99.1056,567.488,0,11700,-439.096,12607.5,1545,6180,1545,31855,23839,577.697,669.376,0,15918.8,-253.602,16264.1,6913.31,16925.7,20000,0,0,24.6396,0,644.736,0,669.376,0,0,16264.1,0,761.9,0,17026,0,0,0,0,24.6396,0,24.6396,0,1,0,29633.5,0,0,0,29633.5,20
449,1,35.3338,0,0,101.914,-0.78366,67.3635,9270,1,121.583,67.3635,0,1794.7,-49.2082,1789.69,1545,6180,1545,31855,23839,574.46,115.763,0,2552.2,112.521,1980.98,6913.31,16925.7,20000,0,0,4.2612,0,111.501,0,115.763,0,0,1980.98,0,153.37,0,2134.35,0,0,0,0,4.2612,0,4.2612,0,1,0,3924.04,0,0,0,3924.04,20
449,1,31.7565,0,0,491.631,3.43612,456.438,9270,1,109.273,456.438,0,9467.4,215.763,9598.8,1545,6180,1545,31855,23839,540.128,558.438,0,13062,-338.162,13418.5,6913.31,16925.7,20000,0,0,20.556,0,537.882,0,558.438,0,0,13418.5,0,670.33,0,14088.8,0,0,0,0,20.556,0,20.556,0,1,0,23687.6,0,0,0,23687.6,20
449,1,34.9274,0,0,110.179,-1.32621,76.5781,9270,1,120.184,76.5781,0,1600.1,-83.2762,1639.77,1545,6180,1545,31855,23839,595.363,125.151,0,2532.04,-66.3294,2128.16,6913.31,16925.7,20000,0,0,4.6068,0,120.545,0,125.151,0,0,2128.16,0,271.49,0,2399.65,0,0,0,0,4.6068,0,4.6068,0,1,0,4039.42,0,0,0,4039.42,20
449,1,29.9645,0,0,104.755,3.97868,70.8118,9270,1,103.107,70.8118,0,1532.1,249.833,1249.97,1545,6180,1545,31855,23839,563.494,118.99,0,2385.97,51.3872,1890.08,6913.31,16925.7,20000,0,0,4.38,0,114.61,0,118.99,0,0,1890.08,0,205.55,0,2095.63,0,0,0,0,4.38,0,4.38,0,1,0,3345.6,0,0,0,3345.6,20
449,1,32.4281,0,0,83.6031,-0.120564,51.2956,9270,1,111.584,51.2956,0,1175.7,-7.57053,1122.98,1545,6180,1545,31855,23839,602.056,94.9638,0,1862.48,88.7234,1266.66,6913.31,16925.7,20000,0,0,3.4956,0,91.4682,0,94.9638,0,0,1266.66,0,137.76,0,1404.42,0,0,0,0,3.4956,0,3.4956,0,1,0,2527.41,0,0,0,2527.41,20
449,1,35.7508,0,0,104.037,-9.3775,77.6642,9270,1,123.018,77.6642,0,1511.6,-588.84,2055.09,1545,6180,1545,31855,23839,576.547,118.175,0,2435.24,-75.6436,2052.51,6913.31,16925.7,20000,0,0,4.35,0,113.825,0,118.175,0,0,2052.51,0,174.77,0,2227.28,0,0,0,0,4.35,0,4.35,0,1,0,4282.37,0,0,0,4282.37,20
449,1,28.4679,0,0,44.4507,-2.86346,18.8463,9270,1,97.9575,18.8463,0,1035.02,-179.805,1135.72,1545,6180,1545,31855,23839,494.431,50.4911,0,1629.14,-363.852,1549.06,6913.31,16925.7,20000,0,0,1.85857,0,48.6325,0,50.4911,0,0,1549.06,0,36.5683,0,1585.62,0,0,0,0,1.85857,0,1.85857,0,1,0,2721.34,0,0,0,2721.34,20
449,1,31.6828,0,0,117.236,-5.06962,90.6223,9270,1,109.02,90.6223,0,1020.08,-318.335,1320.02,1545,6180,1545,31855,23839,570.701,133.166,0,2166.01,-50.8386,1779.31,6913.31,16925.7,20000,0,0,4.90183,0,128.265,0,133.166,0,0,1779.31,0,40.5764,0,1819.89,0,0,0,0,4.90183,0,4.90183,0,1,0,3139.91,0,0,0,3139.91,20
449,1,32.0469,0,0,327.066,-3.95382,298.973,9270,1,110.273,298.973,0,3178.48,-248.271,3615.45,1545,6180,1545,31855,23839,580.372,371.51,0,7181.4,-163.143,7135.68,6913.31,16925.7,20000,0,0,13.6752,0,357.835,0,371.51,0,0,7135.68,0,102.825,0,7238.51,0,0,0,0,13.6752,0,13.6752,0,1,0,10854,0,0,0,10854,20
449,1,37.6266,0,0,256.253,-6.96473,225.591,9270,1,129.472,225.591,0,5303.83,-437.335,5837.29,1545,6180,1545,31855,23839,587.835,291.075,0,8655.9,-56.6,8415.74,6913.31,16925.7,20000,0,0,10.7144,0,280.361,0,291.075,0,0,8415.74,0,78.6357,0,8494.38,0,0,0,0,10.7144,0,10.7144,0,1,0,14331.7,0,0,0,14331.7,20
449,1,30.3217,0,0,1695.38,-1.94131,1667,9270,1,104.336,1667,0,23515.2,-121.9,25199.7,1545,6180,1545,31855,23839,510.249,1925.76,0,37650.8,-570.63,39636.9,6913.31,16925.7,20000,0,0,70.8869,0,1854.87,0,1925.76,0,0,39636.9,0,143.308,0,39780.2,0,0,0,0,70.8869,0,70.8869,0,1,0,64980,0,0,0,64980,20
449,1,33.1435,0,0,427.46,-4.05917,398.375,9270,1,114.046,398.375,0,4032.35,-254.887,4571.56,1545,6180,1545,31855,23839,570.575,485.546,0,6074.37,-46.4548,6035.79,6913.31,16925.7,20000,0,0,17.8729,0,467.674,0,485.546,0,0,6035.79,0,94.8281,0,6130.62,0,0,0,0,17.8729,0,17.8729,0,1,0,10702.2,0,0,0,10702.2,20
449,1,40.2519,0,0,302.307,-2.51558,264.571,9270,1,138.506,264.571,0,1885.35,-157.96,2169.37,1545,6180,1545,31855,23839,634.161,343.387,0,3181.22,-124.808,3015.26,6913.31,16925.7,20000,0,0,12.64,0,330.747,0,343.387,0,0,3015.26,0,78.3939,0,3093.65,0,0,0,0,12.64,0,12.64,0,1,0,5263.02,0,0,0,5263.02,20
449,1,33.0041,0,0,105.978,-4.92347,77.8971,9270,1,113.566,77.8971,0,975.759,-309.159,1249.25,1545,6180,1545,31855,23839,554.158,120.379,0,1528.4,-21.8581,1116.48,6913.31,16925.7,20000,0,0,4.43112,0,115.948,0,120.379,0,0,1116.48,0,73.584,0,1190.06,0,0,0,0,4.43112,0,4.43112,0,1,0,2439.31,0,0,0,2439.31,20
449,1,33.9005,0,0,1149.37,-5.80228,1121.27,9270,1,116.651,1121.27,0,8436.56,-364.341,9805.51,1545,6180,1545,31855,23839,675.844,1305.55,0,13825,-591.232,15045.9,6913.31,16925.7,20000,0,0,48.0571,0,1257.49,0,1305.55,0,0,15045.9,0,373.055,0,15419,0,0,0,0,48.0571,0,48.0571,0,1,0,25224.5,0,0,0,25224.5,20
449,1,53.1663,0,0,630.502,-10.701,588.036,9270,1,182.944,588.036,0,3779.42,-671.944,4856.46,1545,6180,1545,31855,23839,558.502,716.18,0,7438.57,6.53071,7589.72,6913.31,16925.7,20000,0,0,26.3624,0,689.817,0,716.18,0,0,7589.72,0,686.048,0,8275.76,0,0,0,0,26.3624,0,26.3624,0,1,0,13132.2,0,0,0,13132.2,20
