0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2s_area,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,10.6491,0,0,133.802,3.81951,119.334,10300,118.305,119.334,0,2388.3,239.838,2149.49,7210,2060,1030,30825,23839,64,531.785,140.515,0,3829.06,-634.175,4071.96,6913.31,16925.7,20000,0,0,0,0,140.515,0,140.515,0,0,4071.96,0,112.77,0,4184.73,0,1,0,6334.23,0,0,0,6334.23,20
649,1,12.663,0,0,497.715,2.17014,482.882,10300,140.678,482.882,0,9868.4,136.269,10074.3,7210,2060,1030,30825,23839,64,564.881,522.684,0,13481.1,-132.53,13571.5,6913.31,16925.7,20000,0,0,0,0,522.684,0,522.684,0,0,13571.5,0,379.88,0,13951.3,0,1,0,24025.7,0,0,0,24025.7,20
649,1,10.5277,0,0,613.937,-6.99278,610.402,10300,116.957,610.402,0,11700,-439.096,12632.5,7210,2060,1030,30825,23839,64,564.321,644.736,0,15918.8,-253.602,16252.8,6913.31,16925.7,20000,0,0,0,0,644.736,0,644.736,0,0,16252.8,0,761.9,0,17014.7,0,1,0,29647.3,0,0,0,29647.3,20
649,1,10.5626,0,0,106.175,-0.78366,96.3959,10300,117.344,96.3959,0,1794.7,-49.2082,1822.96,7210,2060,1030,30825,23839,64,577.697,111.501,0,2552.2,112.521,1973.48,6913.31,16925.7,20000,0,0,0,0,111.501,0,111.501,0,0,1973.48,0,153.37,0,2126.85,0,1,0,3949.81,0,0,0,3949.81,20
649,1,12.9583,0,0,512.187,3.43612,495.793,10300,143.959,495.793,0,9467.4,215.763,9603.47,7210,2060,1030,30825,23839,64,574.46,537.882,0,13062,-338.162,13363.6,6913.31,16925.7,20000,0,0,0,0,537.882,0,537.882,0,0,13363.6,0,670.33,0,14033.9,0,1,0,23637.4,0,0,0,23637.4,20
649,1,11.6463,0,0,114.786,-1.32621,104.466,10300,129.383,104.466,0,1600.1,-83.2762,1658.46,7210,2060,1030,30825,23839,64,540.128,120.545,0,2532.04,-66.3294,2178.79,6913.31,16925.7,20000,0,0,0,0,120.545,0,120.545,0,0,2178.79,0,271.49,0,2450.28,0,1,0,4108.73,0,0,0,4108.73,20
649,1,12.8092,0,0,109.135,3.97868,92.3471,10300,142.303,92.3471,0,1532.1,249.833,1232.31,7210,2060,1030,30825,23839,64,595.363,114.61,0,2385.97,51.3872,1853.83,6913.31,16925.7,20000,0,0,0,0,114.61,0,114.61,0,0,1853.83,0,205.55,0,2059.38,0,1,0,3291.69,0,0,0,3291.69,20
649,1,10.9891,0,0,87.0987,-0.120564,76.2301,10300,122.083,76.2301,0,1175.7,-7.57053,1137.42,7210,2060,1030,30825,23839,64,563.494,91.4682,0,1862.48,88.7234,1301.73,6913.31,16925.7,20000,0,0,0,0,91.4682,0,91.4682,0,0,1301.73,0,137.76,0,1439.49,0,1,0,2576.91,0,0,0,2576.91,20
649,1,11.8926,0,0,108.387,-9.3775,105.872,10300,132.12,105.872,0,1511.6,-588.84,2074.19,7210,2060,1030,30825,23839,64,602.056,113.825,0,2435.24,-75.6436,2022.65,6913.31,16925.7,20000,0,0,0,0,113.825,0,113.825,0,0,2022.65,0,174.77,0,2197.42,0,1,0,4271.61,0,0,0,4271.61,20
649,1,13.1112,0,0,46.3093,-2.86346,36.0616,10300,145.657,36.0616,0,1035.02,-179.805,1105.23,7210,2060,1030,30825,23839,64,576.547,48.6325,0,1629.14,-363.852,1465.08,6913.31,16925.7,20000,0,0,0,0,48.6325,0,48.6325,0,0,1465.08,0,36.5683,0,1501.65,0,1,0,2606.88,0,0,0,2606.88,20
