0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,10.6836,0,0,133.802,3.81951,119.299,10300,118.688,119.299,0,2388.3,239.838,2149.07,7210,2060,1030,30825,23839,522.418,140.515,0,3829.06,-634.175,4081.33,6913.31,16925.7,20000,0,0,0,0,140.515,0,140.515,0,0,4081.33,0,112.77,0,4194.1,0,1,0,6343.18,0,0,0,6343.18,20
649,1,11.9438,0,0,497.715,2.17014,483.601,10300,132.689,483.601,0,9868.4,136.269,10083,7210,2060,1030,30825,23839,545.531,522.684,0,13481.1,-132.53,13590.8,6913.31,16925.7,20000,0,0,0,0,522.684,0,522.684,0,0,13590.8,0,379.88,0,13970.7,0,1,0,24053.7,0,0,0,24053.7,20
649,1,11.9544,0,0,613.937,-6.99278,608.975,10300,132.806,608.975,0,11700,-439.096,12615.3,7210,2060,1030,30825,23839,521.846,644.736,0,15918.8,-253.602,16295.3,6913.31,16925.7,20000,0,0,0,0,644.736,0,644.736,0,0,16295.3,0,761.9,0,17057.2,0,1,0,29672.5,0,0,0,29672.5,20
649,1,11.3404,0,0,106.175,-0.78366,95.6182,10300,125.985,95.6182,0,1794.7,-49.2082,1813.54,7210,2060,1030,30825,23839,487.942,111.501,0,2552.2,112.521,2063.24,6913.31,16925.7,20000,0,0,0,0,111.501,0,111.501,0,0,2063.24,0,153.37,0,2216.61,0,1,0,4030.15,0,0,0,4030.15,20
649,1,10.5822,0,0,512.187,3.43612,498.169,10300,117.562,498.169,0,9467.4,215.763,9632.24,7210,2060,1030,30825,23839,603.982,537.882,0,13062,-338.162,13334.1,6913.31,16925.7,20000,0,0,0,0,537.882,0,537.882,0,0,13334.1,0,670.33,0,14004.4,0,1,0,23636.6,0,0,0,23636.6,20
649,1,10.7982,0,0,114.786,-1.32621,105.314,10300,119.962,105.314,0,1600.1,-83.2762,1668.73,7210,2060,1030,30825,23839,553.146,120.545,0,2532.04,-66.3294,2165.77,6913.31,16925.7,20000,0,0,0,0,120.545,0,120.545,0,0,2165.77,0,271.49,0,2437.26,0,1,0,4105.99,0,0,0,4105.99,20
649,1,10.605,0,0,109.135,3.97868,94.5513,10300,117.815,94.5513,0,1532.1,249.833,1259,7210,2060,1030,30825,23839,576.03,114.61,0,2385.97,51.3872,1873.16,6913.31,16925.7,20000,0,0,0,0,114.61,0,114.61,0,0,1873.16,0,205.55,0,2078.71,0,1,0,3337.72,0,0,0,3337.72,20
649,1,10.6056,0,0,87.0987,-0.120564,76.6137,10300,117.822,76.6137,0,1175.7,-7.57053,1142.06,7210,2060,1030,30825,23839,581.363,91.4682,0,1862.48,88.7234,1283.86,6913.31,16925.7,20000,0,0,0,0,91.4682,0,91.4682,0,0,1283.86,0,137.76,0,1421.62,0,1,0,2563.68,0,0,0,2563.68,20
649,1,13.1459,0,0,108.387,-9.3775,104.619,10300,146.043,104.619,0,1511.6,-588.84,2059.02,7210,2060,1030,30825,23839,626.643,113.825,0,2435.24,-75.6436,1998.07,6913.31,16925.7,20000,0,0,0,0,113.825,0,113.825,0,0,1998.07,0,174.77,0,2172.84,0,1,0,4231.85,0,0,0,4231.85,20
649,1,13.078,0,0,66.82,-13.8617,67.6036,10300,145.289,67.6036,0,2045.54,-870.413,2838.27,7210,2060,1030,30825,23839,567.887,70.1722,0,2887.01,-22.6904,2411.99,6913.31,16925.7,20000,0,0,0,0,70.1722,0,70.1722,0,0,2411.99,0,140.261,0,2552.25,0,1,0,5390.51,0,0,0,5390.51,20
649,1,13.5723,0,0,212.925,-4.49555,203.849,10300,150.78,203.849,0,4462.24,-282.288,4797.6,7210,2060,1030,30825,23839,540.308,223.607,0,6271.59,-178.701,6133.59,6913.31,16925.7,20000,0,0,0,0,223.607,0,223.607,0,0,6133.59,0,90.7675,0,6224.36,0,1,0,11022,0,0,0,11022,20
649,1,12.3171,0,0,360.312,-5.01728,353.012,10300,136.836,353.012,0,4355.31,-315.049,4886.54,7210,2060,1030,30825,23839,594.193,378.388,0,7547.27,-117.515,7448.98,6913.31,16925.7,20000,0,0,0,0,378.388,0,378.388,0,0,7448.98,0,146.933,0,7595.91,0,1,0,12482.4,0,0,0,12482.4,20
649,1,12.964,0,0,178.598,-9.04597,174.68,10300,144.022,174.68,0,2339.66,-568.022,2938.33,7210,2060,1030,30825,23839,553.308,187.557,0,3984.56,-81.7536,3700.56,6913.31,16925.7,20000,0,0,0,0,187.557,0,187.557,0,0,3700.56,0,150.659,0,3851.22,0,1,0,6789.56,0,0,0,6789.56,20
649,1,12.6146,0,0,89.9747,0.991268,76.3688,10300,140.14,76.3688,0,2269.22,62.2445,2143.21,7210,2060,1030,30825,23839,602.284,94.4885,0,3229.02,-39.1249,2760.35,6913.31,16925.7,20000,0,0,0,0,94.4885,0,94.4885,0,0,2760.35,0,87.6092,0,2847.96,0,1,0,4991.17,0,0,0,4991.17,20
649,1,13.2317,0,0,183.327,-4.5709,174.667,10300,146.996,174.667,0,1706.6,-287.02,2021.3,7210,2060,1030,30825,23839,575.046,192.524,0,3075.01,-157.697,2850.18,6913.31,16925.7,20000,0,0,0,0,192.524,0,192.524,0,0,2850.18,0,123.635,0,2973.82,0,1,0,4995.11,0,0,0,4995.11,20
649,1,12.6314,0,0,1415.91,-2.56825,1405.84,10300,140.328,1405.84,0,27010.2,-161.267,28436.9,7210,2060,1030,30825,23839,574.759,1486.94,0,35020.1,-437.545,36369.8,6913.31,16925.7,20000,0,0,0,0,1486.94,0,1486.94,0,0,36369.8,0,152.615,0,36522.5,0,1,0,64959.4,0,0,0,64959.4,20
649,1,13.0292,0,0,435.175,-2.22531,424.371,10300,144.747,424.371,0,11698.6,-139.733,12117.9,7210,2060,1030,30825,23839,584.739,457.006,0,14665.9,-72.7695,14611,6913.31,16925.7,20000,0,0,0,0,457.006,0,457.006,0,0,14611,0,222.872,0,14833.8,0,1,0,26951.8,0,0,0,26951.8,20
649,1,13.9885,0,0,465.391,1.99174,449.411,10300,155.404,449.411,0,10146.1,125.067,10315,7210,2060,1030,30825,23839,626.865,488.738,0,13009.5,14.4662,12856.9,6913.31,16925.7,20000,0,0,0,0,488.738,0,488.738,0,0,12856.9,0,531.343,0,13388.2,0,1,0,23703.2,0,0,0,23703.2,20
649,1,19.3969,0,0,550.41,1.1842,529.828,10300,215.488,529.828,0,20188.2,74.359,20428.2,7210,2060,1030,30825,23839,478.752,578.022,0,23537.4,124.131,23512.5,6913.31,16925.7,20000,0,0,0,0,578.022,0,578.022,0,0,23512.5,0,476.555,0,23989,0,1,0,44417.2,0,0,0,44417.2,20
649,1,17.4177,0,0,211.416,-11.0408,205.039,10300,193.5,205.039,0,4516.49,-693.282,5221.31,7210,2060,1030,30825,23839,669.317,222.022,0,6398.65,-195.144,6146.5,6913.31,16925.7,20000,0,0,0,0,222.022,0,222.022,0,0,6146.5,0,407.406,0,6553.91,0,1,0,11775.2,0,0,0,11775.2,20
649,1,17.518,0,0,180.481,-2.12345,165.086,10300,194.615,165.086,0,5969.41,-133.337,6073.22,7210,2060,1030,30825,23839,641.414,189.535,0,7486.55,-313.693,7348.36,6913.31,16925.7,20000,0,0,0,0,189.535,0,189.535,0,0,7348.36,0,187.238,0,7535.6,0,1,0,13608.8,0,0,0,13608.8,20
649,1,17.1142,0,0,432.653,-5.04792,420.587,10300,190.129,420.587,0,8170.76,-316.973,8718.19,7210,2060,1030,30825,23839,767.498,454.358,0,10485.3,34.195,10137.9,6913.31,16925.7,20000,0,0,0,0,454.358,0,454.358,0,0,10137.9,0,249.457,0,10387.4,0,1,0,19105.6,0,0,0,19105.6,20
649,1,19.0502,0,0,96.0252,0.526526,76.4484,10300,211.637,76.4484,0,3465.39,33.0621,3297.14,7210,2060,1030,30825,23839,647.294,100.843,0,4013.42,283.204,3183.77,6913.31,16925.7,20000,0,0,0,0,100.843,0,100.843,0,0,3183.77,0,159.684,0,3343.45,0,1,0,6640.59,0,0,0,6640.59,20
649,1,17.6133,0,0,65.1758,3.60758,43.9549,10300,195.674,43.9549,0,1292.21,226.53,913.961,7210,2060,1030,30825,23839,757.684,68.4455,0,1740.24,-201.354,1252.36,6913.31,16925.7,20000,0,0,0,0,68.4455,0,68.4455,0,0,1252.36,0,193.732,0,1446.09,0,1,0,2360.05,0,0,0,2360.05,20
649,1,14.1573,0,0,195.24,3.6852,177.398,10300,157.279,177.398,0,5012.63,231.404,4801.35,7210,2060,1030,30825,23839,644.653,205.035,0,6491.09,87.1022,5964.36,6913.31,16925.7,20000,0,0,0,0,205.035,0,205.035,0,0,5964.36,0,430.967,0,6395.33,0,1,0,11196.7,0,0,0,11196.7,20
649,1,19.0052,0,0,59.6945,2.14982,38.5395,10300,211.137,38.5395,0,2078.21,134.993,1770.62,7210,2060,1030,30825,23839,811.562,62.6892,0,2800.13,-295.465,2346.72,6913.31,16925.7,20000,0,0,0,0,62.6892,0,62.6892,0,0,2346.72,0,263.382,0,2610.1,0,1,0,4380.73,0,0,0,4380.73,20
649,1,17.6789,0,0,108.666,-1.08165,92.069,10300,196.402,92.069,0,2353.91,-67.9199,2317.5,7210,2060,1030,30825,23839,666.621,114.118,0,2908.64,-155.97,2512.11,6913.31,16925.7,20000,0,0,0,0,114.118,0,114.118,0,0,2512.11,0,140.271,0,2652.38,0,1,0,4969.88,0,0,0,4969.88,20
