0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1s_area,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,10.925,0,0,133.802,3.81951,119.058,10300,208,121.37,119.058,0,2388.3,239.838,2146.15,7210,2060,1030,30825,23839,541.7,140.515,0,3829.06,-634.175,4062.05,6913.31,16925.7,20000,0,0,0,0,140.515,0,140.515,0,0,4062.05,0,112.77,0,4174.82,0,1,0,6320.97,0,0,0,6320.97,20
649,1,11.7361,0,0,497.715,2.17014,483.809,10300,208,130.381,483.809,0,9868.4,136.269,10085.6,7210,2060,1030,30825,23839,509.212,522.684,0,13481.1,-132.53,13627.1,6913.31,16925.7,20000,0,0,0,0,522.684,0,522.684,0,0,13627.1,0,379.88,0,14007,0,1,0,24092.6,0,0,0,24092.6,20
649,1,12.0053,0,0,613.937,-6.99278,608.924,10300,208,133.372,608.924,0,11700,-439.096,12614.6,7210,2060,1030,30825,23839,585.561,644.736,0,15918.8,-253.602,16231.6,6913.31,16925.7,20000,0,0,0,0,644.736,0,644.736,0,0,16231.6,0,761.9,0,16993.5,0,1,0,29608.1,0,0,0,29608.1,20
649,1,10.3703,0,0,106.175,-0.78366,96.5882,10300,208,115.208,96.5882,0,1794.7,-49.2082,1825.29,7210,2060,1030,30825,23839,482.386,111.501,0,2552.2,112.521,2068.79,6913.31,16925.7,20000,0,0,0,0,111.501,0,111.501,0,0,2068.79,0,153.37,0,2222.16,0,1,0,4047.45,0,0,0,4047.45,20
649,1,11.4204,0,0,512.187,3.43612,497.33,10300,208,126.874,497.33,0,9467.4,215.763,9622.09,7210,2060,1030,30825,23839,589.523,537.882,0,13062,-338.162,13348.5,6913.31,16925.7,20000,0,0,0,0,537.882,0,537.882,0,0,13348.5,0,670.33,0,14018.9,0,1,0,23641,0,0,0,23641,20
649,1,12.4479,0,0,114.786,-1.32621,103.664,10300,208,138.288,103.664,0,1600.1,-83.2762,1648.75,7210,2060,1030,30825,23839,526.97,120.545,0,2532.04,-66.3294,2191.94,6913.31,16925.7,20000,0,0,0,0,120.545,0,120.545,0,0,2191.94,0,271.49,0,2463.43,0,1,0,4112.19,0,0,0,4112.19,20
649,1,12.4997,0,0,109.135,3.97868,92.6566,10300,208,138.864,92.6566,0,1532.1,249.833,1236.06,7210,2060,1030,30825,23839,578.465,114.61,0,2385.97,51.3872,1870.73,6913.31,16925.7,20000,0,0,0,0,114.61,0,114.61,0,0,1870.73,0,205.55,0,2076.28,0,1,0,3312.34,0,0,0,3312.34,20
649,1,11.857,0,0,87.0987,-0.120564,75.3623,10300,208,131.724,75.3623,0,1175.7,-7.57053,1126.91,7210,2060,1030,30825,23839,566.237,91.4682,0,1862.48,88.7234,1298.99,6913.31,16925.7,20000,0,0,0,0,91.4682,0,91.4682,0,0,1298.99,0,137.76,0,1436.75,0,1,0,2563.66,0,0,0,2563.66,20
649,1,11.971,0,0,108.387,-9.3775,105.794,10300,208,132.991,105.794,0,1511.6,-588.84,2073.24,7210,2060,1030,30825,23839,621.462,113.825,0,2435.24,-75.6436,2003.25,6913.31,16925.7,20000,0,0,0,0,113.825,0,113.825,0,0,2003.25,0,174.77,0,2178.02,0,1,0,4251.26,0,0,0,4251.26,20
649,1,10.8118,0,0,227.618,-0.963267,217.769,10300,208,120.113,217.769,0,2771.57,-60.4862,2929.71,7210,2060,1030,30825,23839,530.932,239.037,0,5383.8,-347.225,5439.13,6913.31,16925.7,20000,0,0,0,0,239.037,0,239.037,0,0,5439.13,0,404.82,0,5843.95,0,1,0,8773.66,0,0,0,8773.66,20
649,1,11.723,0,0,201.768,-3.58724,193.632,10300,208,130.236,193.632,0,4468.73,-225.253,4757.38,7210,2060,1030,30825,23839,582.33,211.89,0,6886.59,174.9,6341.25,6913.31,16925.7,20000,0,0,0,0,211.89,0,211.89,0,0,6341.25,0,385.155,0,6726.41,0,1,0,11483.8,0,0,0,11483.8,20
649,1,11.9038,0,0,174.679,1.4652,161.31,10300,208,132.244,161.31,0,2139.65,92.004,2076.71,7210,2060,1030,30825,23839,563.679,183.442,0,3596.75,27.2832,3189.23,6913.31,16925.7,20000,0,0,0,0,183.442,0,183.442,0,0,3189.23,0,438.801,0,3628.03,0,1,0,5704.74,0,0,0,5704.74,20
649,1,12.5617,0,0,175.137,-0.693273,163.268,10300,208,139.553,163.268,0,1778.36,-43.5325,1845.61,7210,2060,1030,30825,23839,538.674,183.923,0,3789.32,-7.25823,3441.83,6913.31,16925.7,20000,0,0,0,0,183.923,0,183.923,0,0,3441.83,0,311.888,0,3753.72,0,1,0,5599.33,0,0,0,5599.33,20
